
Overgrow,Overgrow,Chlorophyll,,
Overgrow,Overgrow,Chlorophyll,,
Overgrow,Overgrow,Chlorophyll,,
Blaze,Blaze,Solar Power,,
Blaze,Blaze,Solar Power,,
Blaze,Blaze,Solar Power,,
Torrent,Torrent,Rain Dish,,
Torrent,Torrent,Rain Dish,,
Torrent,Torrent,Rain Dish,,
Shield Dust,Shield Dust,Run Away,,
Shed Skin,Shed Skin,Shed Skin,,
Compound Eyes,Compound Eyes,Tinted Lens,,
Shield Dust,Shield Dust,Run Away,,
Shed Skin,Shed Skin,Shed Skin,,
Swarm,Swarm,Sniper,,
Keen Eye,Tangled Feet,Big Pecks,,
Keen Eye,Tangled Feet,Big Pecks,,
Keen Eye,Tangled Feet,Big Pecks,,
Run Away,Guts,Hustle,,
Run Away,Guts,Hustle,,
Keen Eye,Keen Eye,Sniper,,
Keen Eye,Keen Eye,Sniper,,
Intimidate,Shed Skin,Unnerve,,
Intimidate,Shed Skin,Unnerve,,
Static,Static,Lightning Rod,,
Static,Static,Lightning Rod,,
Sand Veil,Sand Veil,Sand Rush,,
Sand Veil,Sand Veil,Sand Rush,,
Poison Point,Rivalry,Hustle,,
Poison Point,Rivalry,Hustle,,
Poison Point,Rivalry,Sheer Force,,
Poison Point,Rivalry,Hustle,,
Poison Point,Rivalry,Hustle,,
Poison Point,Rivalry,Sheer Force,,
Cute Charm,Magic Guard,Friend Guard,,
Cute Charm,Magic Guard,Unaware,,
Flash Fire,Flash Fire,Drought,,
Flash Fire,Flash Fire,Drought,,
Cute Charm,Competitive,Friend Guard,,
Cute Charm,Competitive,Frisk,,
Inner Focus,Inner Focus,Infiltrator,,
Inner Focus,Inner Focus,Infiltrator,,
Chlorophyll,Chlorophyll,Run Away,,
Chlorophyll,Chlorophyll,Stench,,
Chlorophyll,Chlorophyll,Effect Spore,,
Effect Spore,Dry Skin,Damp,,
Effect Spore,Dry Skin,Damp,,
Compound Eyes,Tinted Lens,Run Away,,
Shield Dust,Tinted Lens,Wonder Skin,,
Sand Veil,Arena Trap,Sand Force,,
Sand Veil,Arena Trap,Sand Force,,
Pickup,Technician,Unnerve,,
Limber,Technician,Unnerve,,
Damp,Cloud Nine,Swift Swim,,
Damp,Cloud Nine,Swift Swim,,
Vital Spirit,Anger Point,Defiant,,
Vital Spirit,Anger Point,Defiant,,
Intimidate,Flash Fire,Justified,,
Intimidate,Flash Fire,Justified,,
Water Absorb,Damp,Swift Swim,,
Water Absorb,Damp,Swift Swim,,
Water Absorb,Damp,Swift Swim,,
Synchronize,Inner Focus,Magic Guard,,
Synchronize,Inner Focus,Magic Guard,,
Synchronize,Inner Focus,Magic Guard,,
Guts,No Guard,Steadfast,,
Guts,No Guard,Steadfast,,
Guts,No Guard,Steadfast,,
Chlorophyll,Chlorophyll,Gluttony,,
Chlorophyll,Chlorophyll,Gluttony,,
Chlorophyll,Chlorophyll,Gluttony,,
Clear Body,Liquid Ooze,Rain Dish,,
Clear Body,Liquid Ooze,Rain Dish,,
Rock Head,Sturdy,Sand Veil,,
Rock Head,Sturdy,Sand Veil,,
Rock Head,Sturdy,Sand Veil,,
Run Away,Flash Fire,Flame Body,,
Run Away,Flash Fire,Flame Body,,
Oblivious,Own Tempo,Regenerator,,
Oblivious,Own Tempo,Regenerator,,
Magnet Pull,Sturdy,Analytic,,
Magnet Pull,Sturdy,Analytic,,
Keen Eye,Inner Focus,Defiant,,
Run Away,Early Bird,Tangled Feet,,
Run Away,Early Bird,Tangled Feet,,
Thick Fat,Hydration,Ice Body,,
Thick Fat,Hydration,Ice Body,,
Stench,Sticky Hold,Poison Touch,,
Stench,Sticky Hold,Poison Touch,,
Shell Armor,Skill Link,Overcoat,,
Shell Armor,Skill Link,Overcoat,,
Levitate,Levitate,Levitate,,
Levitate,Levitate,Levitate,,
Cursed Body,Cursed Body,Cursed Body,,
Rock Head,Sturdy,Weak Armor,,
Insomnia,Forewarn,Inner Focus,,
Insomnia,Forewarn,Inner Focus,,
Hyper Cutter,Shell Armor,Sheer Force,,
Hyper Cutter,Shell Armor,Sheer Force,,
Soundproof,Static,Aftermath,,
Soundproof,Static,Aftermath,,
Chlorophyll,Chlorophyll,Harvest,,
Chlorophyll,Chlorophyll,Harvest,,
Rock Head,Lightning Rod,Battle Armor,,
Rock Head,Lightning Rod,Battle Armor,,
Limber,Reckless,Unburden,,
Keen Eye,Iron Fist,Inner Focus,,
Own Tempo,Oblivious,Cloud Nine,,
Levitate,Levitate,Levitate,,
Levitate,Levitate,Levitate,,
Lightning Rod,Rock Head,Reckless,,
Lightning Rod,Rock Head,Reckless,,
Natural Cure,Serene Grace,Healer,,
Chlorophyll,Leaf Guard,Regenerator,,
Early Bird,Scrappy,Inner Focus,,
Swift Swim,Sniper,Damp,,
Poison Point,Sniper,Damp,,
Swift Swim,Water Veil,Lightning Rod,,
Swift Swim,Water Veil,Lightning Rod,,
Illuminate,Natural Cure,Analytic,,
